leaf_id,precision,recall,f1,support
meal_grocery,1.0,1.0,1.0,3
meal_dining,1.0,1.0,1.0,3
meal_cafe,1.0,1.0,1.0,3
meal_drink,1.0,1.0,1.0,3
life_goods,1.0,1.0,1.0,3
life_appliance,1.0,1.0,1.0,3
life_clean,1.0,1.0,1.0,3
housing_rent,1.0,1.0,1.0,3
housing_fee,1.0,1.0,1.0,3
housing_utility,1.0,1.0,1.0,3
transit_public,1.0,1.0,1.0,3
transit_car,1.0,1.0,1.0,3
transit_maintain,1.0,1.0,1.0,3
comm_internet,1.0,1.0,1.0,3
comm_mobile,1.0,1.0,1.0,3
fashion_clothes,1.0,1.0,1.0,3
fashion_beauty,1.0,1.0,1.0,3
health_med,1.0,0.6666666666666666,0.8,3
health_gym,1.0,1.0,1.0,3
edu_class,1.0,1.0,1.0,3
edu_book,1.0,1.0,1.0,3
leisure_show,1.0,1.0,1.0,3
leisure_trip,1.0,1.0,1.0,3
leisure_hobby,1.0,1.0,1.0,3
gift_event,1.0,1.0,1.0,3
gift_present,1.0,1.0,1.0,3
finance_insure,1.0,1.0,1.0,3
finance_save,1.0,1.0,1.0,3
finance_fee,1.0,1.0,1.0,3
family_kids,1.0,1.0,1.0,3
family_pet,1.0,1.0,1.0,3
misc_uncat,0.75,1.0,0.8571428571428571,3
misc_other,1.0,1.0,1.0,3
