expected/predicted,meal_grocery,meal_dining,meal_cafe,meal_drink,life_goods,life_appliance,life_clean,transit_public,transit_car,transit_maintain,comm_mobile,fashion_clothes,fashion_beauty,health_med,health_gym,edu_class,edu_book,leisure_trip,leisure_hobby,gift_event,gift_present,family_kids,family_pet
meal_grocery,61,16,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
meal_dining,63,207,37,5,0,3,0,0,0,3,1,3,1,0,0,0,6,0,0,0,5,10,2
meal_cafe,11,85,83,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0
meal_drink,4,5,6,43,1,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,3,0
life_goods,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,0
life_appliance,1,6,0,4,1,34,10,2,1,4,3,5,0,0,0,12,17,4,0,0,0,8,0
life_clean,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_public,0,0,0,0,0,1,0,17,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
transit_car,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_maintain,0,0,3,0,1,5,4,15,26,477,17,1,0,4,2,0,2,10,4,1,0,15,0
comm_mobile,0,0,0,0,0,0,2,0,0,0,17,1,1,1,0,0,0,0,0,0,0,0,0
fashion_clothes,17,6,17,21,18,12,10,1,6,63,29,554,58,6,12,38,51,67,41,4,10,106,1
fashion_beauty,0,0,0,0,0,0,1,0,0,1,4,0,6,0,0,2,1,0,0,0,0,0,0
health_med,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
health_gym,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
edu_class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
edu_book,1,1,0,1,0,3,0,0,0,0,6,0,3,0,0,4,10,0,0,0,0,5,0
leisure_trip,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,24,1,0,0,2,0
leisure_hobby,1,0,1,2,0,3,2,2,3,3,2,34,1,0,4,3,7,15,6,1,1,12,0
gift_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gift_present,12,0,5,1,0,1,3,0,1,0,0,7,1,0,0,2,1,3,0,0,381,12,0
family_kids,0,0,2,1,1,2,2,0,0,0,1,1,1,0,1,0,3,1,4,0,0,18,0
family_pet,0,2,7,1,0,0,1,0,0,1,1,17,0,0,0,0,0,3,1,0,1,26,275
