leaf_id,support,precision,recall,f1,baseline_recall,recall_delta
meal_grocery,88,0.3567251461988304,0.6931818181818182,0.47104247104247104,0.75,-0.05681818181818177
meal_dining,346,0.6310975609756098,0.5982658959537572,0.6142433234421365,0.6907514450867052,-0.09248554913294793
meal_cafe,188,0.503030303030303,0.44148936170212766,0.4702549575070821,0.30319148936170215,0.1382978723404255
meal_drink,70,0.524390243902439,0.6142857142857143,0.5657894736842105,0.8428571428571429,-0.22857142857142854
life_goods,9,0.0,0.0,0.0,1.0,-1.0
life_appliance,112,0.5151515151515151,0.30357142857142855,0.38202247191011235,0.4642857142857143,-0.16071428571428575
life_clean,2,0.05,1.0,0.09523809523809523,1.0,0.0
transit_public,22,0.4473684210526316,0.7727272727272727,0.5666666666666667,0.9090909090909091,-0.13636363636363635
transit_car,5,0.0975609756097561,0.8,0.17391304347826086,0.8,0.0
transit_maintain,587,0.8579136690647482,0.8126064735945485,0.8346456692913385,0.8262350936967632,-0.013628620102214661
comm_mobile,22,0.19540229885057472,0.7727272727272727,0.3119266055045872,0.9545454545454546,-0.18181818181818188
fashion_clothes,1148,0.8864,0.48257839721254353,0.6249294980259448,0.4686411149825784,0.013937282229965153
fashion_beauty,15,0.07792207792207792,0.4,0.13043478260869565,0.8666666666666667,-0.4666666666666667
health_med,4,0.0,0.0,0.0,1.0,-1.0
health_gym,1,0.0,0.0,0.0,1.0,-1.0
edu_class,2,0.029850746268656716,1.0,0.057971014492753624,1.0,0.0
edu_book,34,0.09900990099009901,0.29411764705882354,0.14814814814814814,0.6470588235294118,-0.35294117647058826
leisure_trip,33,0.18461538461538463,0.7272727272727273,0.294478527607362,0.9696969696969697,-0.24242424242424243
leisure_hobby,103,0.10344827586206896,0.05825242718446602,0.07453416149068323,0.8543689320388349,-0.7961165048543689
gift_event,1,0.14285714285714285,1.0,0.25,1.0,0.0
gift_present,430,0.9501246882793017,0.8860465116279069,0.9169675090252708,0.913953488372093,-0.027906976744186074
family_kids,38,0.08071748878923767,0.47368421052631576,0.13793103448275862,0.7105263157894737,-0.2368421052631579
family_pet,336,0.9892086330935251,0.8184523809523809,0.8957654723127035,0.9970238095238095,-0.1785714285714286
