epoch,train_loss,train_top1,train_top3,val_loss,val_top1,val_top3,best_top1,seconds
1,0.326410,60.0765,100.0000,0.776659,37.9061,100.0000,37.9061,275.21
2,0.272262,69.0951,100.0000,0.676511,59.3332,100.0000,59.3332,270.22
3,0.256920,72.0288,100.0000,0.788278,51.0512,100.0000,59.3332,269.30
4,0.237609,75.2101,100.0000,0.601292,67.4241,100.0000,67.4241,268.94
5,0.225457,77.6298,100.0000,0.671428,60.0977,100.0000,67.4241,270.24
6,0.217807,79.5093,100.0000,0.587932,68.6558,100.0000,68.6558,270.25
7,0.204055,82.0603,100.0000,0.620359,67.7214,100.0000,68.6558,269.20
8,0.193871,83.6547,100.0000,0.564888,76.5131,100.0000,76.5131,267.42
9,0.185611,84.7126,100.0000,0.521761,78.5942,100.0000,78.5942,267.15
10,0.176977,86.2470,100.0000,0.602737,69.5689,100.0000,78.5942,267.71
11,0.165816,87.9727,100.0000,0.528235,81.2911,100.0000,81.2911,286.46
12,0.161220,88.7868,100.0000,0.526537,80.5479,100.0000,81.2911,296.70
13,0.150139,90.2649,100.0000,0.506187,84.1792,100.0000,84.1792,324.52
14,0.146907,90.9739,100.0000,0.493950,86.1966,100.0000,86.1966,284.07
15,0.138977,92.1181,100.0000,0.485901,85.7295,100.0000,86.1966,266.86
16,0.132864,92.9584,100.0000,0.483200,86.6214,100.0000,86.6214,267.37
17,0.130790,93.5324,100.0000,0.489463,86.5789,100.0000,86.6214,267.06
18,0.126312,94.3953,100.0000,0.486924,86.3665,100.0000,86.6214,267.42
19,0.119433,95.2656,100.0000,0.457314,91.1871,100.0000,91.1871,267.39
20,0.115716,95.7458,100.0000,0.466265,91.2933,100.0000,91.2933,267.31
21,0.113937,96.0384,100.0000,0.473718,90.7624,100.0000,91.2933,267.37
22,0.109513,96.6762,100.0000,0.464877,89.2121,100.0000,91.2933,267.10
23,0.107586,96.9350,100.0000,0.463072,91.9941,100.0000,91.9941,266.95
24,0.105276,97.2727,100.0000,0.479480,93.6080,100.0000,93.6080,267.34
25,0.103420,97.5015,100.0000,0.469205,92.8647,100.0000,93.6080,267.35
26,0.104445,97.5840,100.0000,0.471173,92.2489,100.0000,93.6080,267.16
27,0.102695,97.6816,100.0000,0.461001,92.5250,100.0000,93.6080,267.53
28,0.101254,97.8879,100.0000,0.475087,93.2257,100.0000,93.6080,267.65
29,0.099960,98.0942,100.0000,0.466250,93.0134,100.0000,93.6080,267.06
30,0.101005,98.1092,100.0000,0.469991,93.3744,100.0000,93.6080,267.07
